INFO  | 2019-01-27 15:57:25 |                | Order 11     | Status: packaging
INFO  | 2019-01-27 15:57:25 |                | Pre-order 13 | 1 x Hamburger was packaged!
INFO  | 2019-01-27 15:57:26 | Order Window 2 | Order 8      | 3 x Coca Cola was brought!
INFO  | 2019-01-27 15:57:26 |                | Order 8      | Status: ready
INFO  | 2019-01-27 15:57:26 | Order Window 2 | Order 8      | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:57:26 | Order Window 2 | Order 14     | Hello! Make your order please!
INFO  | 2019-01-27 15:57:26 | Order Window 3 | Order 12     | 2 x McChicken 8.6
INFO  | 2019-01-27 15:57:26 | Order Window 3 | Order 12     | Total price: 18.8
INFO  | 2019-01-27 15:57:26 |                | Order 12     | Status: packaging
INFO  | 2019-01-27 15:57:27 | Order Window 4 | Order 9      | 1 x Coca Cola was brought!
INFO  | 2019-01-27 15:57:27 |                | Order 9      | Status: ready
INFO  | 2019-01-27 15:57:27 | Order Window 4 | Order 9      | Thank you for your order! Have a nice day!
INFO  | 2019-01-27 15:57:27 | Order Window 4 | Order 15     | Hello! Make your order please!
INFO  | 2019-01-27 15:57:28 | Order Window 1 | Order 11     | 2 x Coca Cola was brought!
INFO  | 2019-01-27 15:57:28 | Order Window 2 | Order 14     | 2 x Coca Cola 4.4
INFO  | 2019-01-27 15:57:28 | Order Window 3 | Order 12     | 2 x McChicken was brought!
INFO  | 2019-01-27 15:57:28 |                | Pre-order 13 | 3 x Coca Cola was packaged!
INFO  | 2019-01-27 15:57:29 | Order Window 4 | Order 15     | 1 x Hamburger 1.8
INFO  | 2019-01-27 15:57:30 | Order Window 1 | Order 11     | 2 x McChicken was brought!
INFO  | 2019-01-27 15:57:30 | Order Window 2 | Order 14     | 1 x French Fries 3.0
INFO  | 2019-01-27 15:57:30 | Order Window 2 | Order 14     | Total price: 7.4
INFO  | 2019-01-27 15:57:30 |                | Order 14     | Status: packaging
INFO  | 2019-01-27 15:57:31 | Order Window 3 | Order 12     | 3 x Coca Cola was brought!
INFO  | 2019-01-27 15:57:31 | Order Window 4 | Order 15     | 3 x Coca Cola 6.6
INFO  | 2019-01-27 15:57:33 | Order Window 4 | Order 15     | 1 x French Fries 3.0
